x1,x2,x3,x4,x5,response
0,0,67.74127708,0,A,0
0,0,47.3381756,1,A,0
1,0,58.15137143,1,A,1
0,0,51.69825578,0,A,0
0,0,55.84736434,0,A,0
0,0,48.3876304,1,B,0
1,0,70.42246861,1,B,1
0,0,58.89345557,1,A,0
0,0,53.66854133,0,A,0
1,0,67.99431665,1,B,1
0,1,64.27976147,0,B,0
1,1,54.23409338,1,B,1
1,0,39.21868497,0,B,0
0,0,44.53418824,0,B,0
0,0,53.80154274,0,B,0
0,0,56.93735957,0,A,0
1,0,34.85287971,1,A,0
0,0,61.49485892,0,A,0
0,0,48.9421833,0,A,0
0,0,31.49357604,1,B,0
1,0,60.34558447,0,B,0
0,0,39.4937433,0,A,0
0,1,62.52371958,1,A,0
0,0,33.24958365,0,A,0
1,0,47.91928631,1,A,0
0,0,38.31785811,0,A,0
1,0,46.37061372,0,A,0
1,1,54.20192913,1,A,0
1,0,33.97794426,0,B,0
1,0,53.07268753,0,A,0
0,0,41.52378282,0,B,0
0,0,55.32609232,0,A,0
0,0,58.37636543,1,A,0
1,0,68.02568718,1,A,1
0,0,40.26718828,0,A,0
1,0,75.86642661,1,A,1
1,1,49.00084601,0,A,0
0,0,54.06734916,0,B,0
1,0,51.97001085,0,A,0
0,0,52.75206186,0,A,0
1,0,44.02782435,0,A,0
0,0,67.79779688,1,A,0
1,0,58.27584962,1,A,1
1,0,50.74638357,0,B,0
1,0,59.18462431,1,A,1
0,1,55.27210466,0,A,0
1,1,55.20877782,1,A,1
0,0,47.92449638,1,A,0
0,0,49.5367642,0,B,0
1,1,53.08106228,1,A,1
1,0,39.68559307,1,B,0
0,0,41.71511135,0,A,0
1,0,61.89396229,0,A,0
0,0,59.16082462,0,A,0
1,1,63.9448332,1,A,1
0,0,59.92080973,1,B,0
1,0,38.4013809,0,A,0
1,1,64.73932994,0,A,0
1,0,55.84434367,0,A,0
1,0,31.21739866,1,B,0
1,0,58.80044246,0,A,0
1,0,65.99889358,0,B,0
1,0,60.76082332,0,B,0
0,0,40.1032101,0,B,0
1,0,54.52703279,0,A,0
0,1,35.07547362,0,A,0
0,0,57.54285086,0,A,0
0,1,28.77331655,0,B,0
0,1,47.72453233,0,B,0
1,1,55.42186115,1,A,1
1,0,65.54805316,1,B,1
1,0,45.39807178,0,A,0
0,1,67.0183168,0,B,0
0,0,58.71240459,0,A,0
1,1,55.6491993,1,A,0
0,0,44.68044414,0,B,0
1,0,61.79259442,1,A,1
1,1,54.83948364,0,A,0
1,0,57.01636465,0,A,0
0,1,49.66112389,0,B,0
1,1,30.30398324,1,A,0
0,0,38.44497459,0,B,0
0,0,37.10611828,0,A,0
0,0,48.20392968,0,B,0
1,0,44.85550651,0,A,0
0,0,63.42605133,1,A,0
0,0,34.76935157,1,A,0
1,0,64.05101426,1,B,0
1,0,58.86590188,0,A,0
0,0,54.313129,0,B,0
0,1,23.35820845,0,A,0
1,0,34.08537587,0,B,0
0,0,60.2439166,1,B,1
0,1,69.43844354,0,B,0
0,0,52.95250521,0,A,0
0,0,56.14318391,1,B,1
1,0,64.44485147,0,A,0
0,0,28.93427833,0,A,0
0,0,45.08072837,0,A,0
0,0,35.98202999,0,A,0
1,0,54.74304925,0,B,0
1,0,63.56548367,0,B,0
1,1,64.3001305,0,A,0
1,0,46.13866059,0,A,0
1,0,68.44486244,1,B,0
0,0,26.1876788,0,B,0
1,0,55.81887522,0,A,0
1,0,53.66081536,0,B,0
0,0,37.55814633,1,A,0
1,0,58.33104734,1,B,1
0,0,38.84136607,0,B,0
1,0,60.78371346,1,A,1
1,0,43.39702164,0,B,0
0,0,34.19937754,0,B,0
0,0,45.84293044,1,A,0
1,1,63.37598455,1,B,1
1,0,52.14267035,1,B,0
1,0,41.13517692,0,B,0
0,0,53.31647128,0,B,0
1,0,61.51645628,1,B,0
0,0,52.40738508,0,B,0
0,1,67.8939502,0,A,0
1,0,52.73613506,0,B,0
1,0,57.58697335,0,B,0
0,0,56.5177429,0,B,0
1,0,64.48124007,1,B,1
0,1,47.13622399,0,A,0
0,1,80.53908412,0,A,0
1,0,53.59459784,0,B,0
0,0,54.88706593,0,A,0
0,0,50.16931007,1,A,0
0,0,53.08195476,0,A,0
0,0,47.67435268,0,A,0
0,0,51.3182308,0,A,0
1,0,51.88436148,1,A,0
1,0,49.21827668,0,A,0
1,0,61.18907285,1,B,1
1,0,69.9662436,1,A,1
1,0,37.61270883,0,A,0
1,0,61.42668458,1,A,1
0,0,52.06142048,1,B,0
0,0,57.77527168,1,B,0
0,1,64.78432994,1,B,1
0,0,48.53654727,0,B,0
0,0,61.72590228,0,A,0
0,1,23.76969339,0,A,0
0,0,52.428988,0,A,0
0,1,46.78940749,0,B,0
1,0,48.84325657,0,B,0
0,0,56.99606607,1,A,1
1,0,38.75724362,1,A,0
1,0,48.26997644,0,A,0
0,0,53.47309615,0,A,0
0,0,49.47181129,0,B,0
0,0,46.82328131,0,A,0
1,1,68.69531936,1,A,1
0,1,53.96453195,0,B,0
0,0,39.84433967,0,A,0
1,0,44.60940583,0,A,0
1,0,65.27512904,0,A,0
0,1,43.40081515,1,B,0
0,0,33.88815952,0,A,0
0,0,55.0086027,1,B,0
1,1,50.83267869,0,B,0
0,0,60.9279656,0,B,0
0,0,36.11555737,0,B,0
0,1,40.10240015,0,A,0
1,0,53.906089,1,B,0
1,0,57.16188509,0,A,0
1,0,53.62109062,0,A,0
0,0,59.79348645,0,B,0
1,0,65.07501437,0,A,0
1,0,44.25464195,0,B,0
0,1,53.81432126,0,A,0
1,0,51.44766822,0,A,0
1,1,60.38640916,1,B,1
1,0,55.71501119,1,B,0
1,0,66.00725708,1,B,0
1,1,60.24802743,0,B,0
0,0,71.44455032,0,A,0
0,0,47.19399124,0,A,0
0,0,59.60770098,0,B,0
1,1,40.88773013,0,A,0
0,0,48.88775516,0,A,0
1,0,62.65337646,1,B,0
0,0,48.62321011,1,B,0
0,0,57.79860163,0,B,0
